iter	Passed	Remaining
0	255	127709
1	343	85604
2	401	66502
3	492	61074
4	573	56744
5	654	53847
6	733	51652
7	823	50630
8	919	50151
9	1004	49212
10	1080	48053
11	1166	47445
12	1246	46698
13	1324	45987
14	1377	44550
15	1433	43364
16	1510	42913
17	1578	42269
18	1655	41918
19	1735	41660
20	1789	40817
21	1875	40753
22	1964	40739
23	2040	40472
24	2150	40857
25	2224	40548
26	2333	40875
27	2414	40701
28	2467	40073
29	2544	39868
30	2592	39215
31	2666	38997
32	2745	38858
33	2829	38778
34	2907	38630
35	2987	38503
36	3081	38555
37	3156	38375
38	3236	38257
39	3315	38131
40	3391	37963
41	3470	37845
42	3547	37707
43	3626	37579
44	3697	37381
45	3749	37008
46	3837	36989
47	3913	36856
48	3988	36707
49	4053	36477
50	4123	36305
51	4174	35960
52	4256	35895
53	4336	35813
54	4401	35608
55	4480	35524
56	4553	35392
57	4605	35099
