transaction_id,customer_id,client_canvas_hash,app_set_id,vpa_handle_hash,delivery_pincode,address_quality_score,payment_method,cart_value_inr,category_volatility,checkout_velocity_seconds,is_discount_applied,customer_order_history_count,ring_id,is_rto,is_fraud_ring
pay_497087120049,USR_381006,d36d95695c17f892,2300ea2f805349ae,,269446,4.2,COD,4770.5,Medium (Electronics),189.2,0,7,,0,0
pay_261906784010,USR_986548,c7b3bf7f446ea6fc,9751856eb1f04b6f,bd34f8028c37d914,549422,2.8,UPI,4932.3,Medium (Electronics),164.7,0,0,,0,0
pay_610541870011,USR_281779,be9bd87623288113,454a698c59fc7de6,ce74979c5a3c3532,567480,4.4,UPI,1985.74,High (Apparel),267.2,0,3,,0,0
pay_442989475079,USR_786715,dc8c6b09b738dce1,4c17f51b6fa9037a,,501562,4.7,COD,1921.74,Medium (Electronics),85.6,1,3,,0,0
pay_281175838761,USR_605948,0f0f27f1693fc754,36fe4dc55c43d059,,258535,2.5,COD,303.31,High (Apparel),71.9,1,1,,0,0
pay_618361536992,USR_606307,037c6e069bdf201c,382bd7451c942c70,,524624,3.4,CARD,4603.32,Medium (Electronics),37.8,1,2,,0,0
pay_5192986223,USR_205611,3070b7fe14eec8d8,3544c90da0b11703,d20fc951ec818c61,999219,2.5,UPI,1661.71,Medium (Electronics),91.3,0,6,,0,0
pay_604231096676,USR_481887,622bb926dd2ef872,30fb2d550efe6830,,870341,3.6,COD,590.32,Low (Groceries),215.1,0,4,,0,0
pay_248545501789,USR_751064,8623fada58048184,1543fcbcb8a29cef,,217050,4.6,CARD,789.68,High (Apparel),114.8,0,4,,0,0
pay_427303000112,USR_66052,fc042d9122799e67,c1bb6bc1663e8fb7,,005050,4.4,COD,2673.46,Medium (Electronics),274.7,0,2,,0,0
pay_715894488704,USR_17804,9a09239c973e748a,998a1880e5953442,,622306,4.6,COD,1131.83,Low (Groceries),289.0,0,1,,0,0
pay_569648561587,USR_849529,0c23335f51df703b,91bce0e492b7f853,,200242,3.8,COD,323.61,Medium (Electronics),85.3,0,5,,0,0
pay_758879087791,USR_109682,97f016b0d91f7b12,5e5e27dfeda45872,7145701b93f6c2de,758335,4.6,UPI,2664.29,Medium (Electronics),38.6,0,3,,0,0
pay_709705197509,USR_762957,48c6624feefa2282,005a7ffa6c2d005c,,743826,2.7,COD,4186.84,Low (Groceries),115.9,0,3,,0,0
pay_54831003710,USR_554840,a93e40e8880e5247,54ab625ca638a456,,101478,3.3,COD,3733.67,High (Apparel),127.8,0,5,,0,0
pay_51550538911,USR_199487,ccd37313b6786971,b6c3e1a3033e5c40,6f6ebd2ff2f332f3,698709,3.2,UPI,3730.68,High (Apparel),207.7,0,8,,0,0
pay_135630490801,USR_89689,f834a3f695b0cca5,0e5d0650a5fff132,a204f96f68a60c97,049611,3.2,UPI,990.71,High (Apparel),228.9,0,3,,0,0
pay_947808426721,USR_63225,b69ff50630583c77,c0b12c527d296ecb,46b0f86c91ffe34c,151272,3.7,UPI,3210.57,High (Apparel),42.9,0,2,RING_CAMO_008,1,1
pay_378733963549,USR_316993,2cef0525aed930c3,e016d257a2365674,,317487,2.6,CARD,4776.98,Medium (Electronics),147.8,0,6,,0,0
pay_740035761386,USR_651242,dec9938d81eae1d9,b795416da610f4b0,,350086,2.8,COD,2152.08,Low (Groceries),170.9,0,3,,0,0
pay_188506254057,USR_453354,b631e02fb0e1b1d7,b3a4b6af2aa66492,121a3850a9224678,746070,2.3,UPI,2406.26,Medium (Electronics),41.4,1,2,RING_CAMO_004,0,1
pay_569947033000,USR_390012,b67f554010cafbb9,b292f8fe7b1e31de,9be9caaa2086cf75,932135,4.2,UPI,4029.07,High (Apparel),175.4,0,3,,0,0
pay_887169048904,USR_712578,0f3eb7e3f88f502f,e0a3969a32e55e43,,083953,4.2,COD,2743.39,Medium (Electronics),150.8,0,5,,0,0
pay_861057812430,USR_854202,3e149aea309acd16,b5c7a9fa0dd77218,3fc3f106d6f9fd77,941884,3.9,UPI,3791.31,Medium (Electronics),14.3,1,36,,0,0
pay_626445988322,USR_641640,d0c3338b978b293b,9ac66e4cd2c01b4e,,718106,3.2,COD,1463.56,Low (Groceries),56.5,1,4,,0,0
pay_209860907025,USR_840895,0a3a5147d646884c,32e7dcd69ec4c462,,184706,3.7,COD,2951.77,High (Apparel),30.4,0,0,RING_CAMO_007,1,1
pay_219865025716,USR_845103,c01d9d434b292c44,cb1691bfcea80733,,375186,4.5,COD,3641.77,Low (Groceries),104.6,1,4,,0,0
pay_276807468636,USR_594682,603d1f340de0d05f,fb63f90b4f26019f,a9adf706846880d4,113200,4.2,UPI,4228.97,Low (Groceries),229.5,0,2,,0,0
pay_714279521495,USR_588143,0f1cdc2720335cae,ed73c54e79282637,,815506,2.6,COD,3467.92,High (Apparel),164.3,0,4,,0,0
pay_833746479679,USR_421341,5483e829b086a931,2a33e057850b2609,,874111,3.5,COD,1222.49,Low (Groceries),74.7,1,4,,0,0
pay_339253059766,USR_605711,422fb2d30936aac0,b2414173b4f94b58,1ffc5abeeca215d1,138658,3.7,UPI,701.38,High (Apparel),62.1,0,7,,0,0
pay_282929565607,USR_790639,ec59e115c13ceb6d,4c7301afaf3533db,f85736ca8c5b5b4c,530405,3.4,UPI,1365.68,Medium (Electronics),157.6,1,7,,0,0
pay_596683782646,USR_909161,2aea886a99cbc2d6,ec14b0d2b598e76a,aaa5b44b07e8e327,756365,3.9,UPI,3177.01,Low (Groceries),293.8,1,3,,0,0
pay_70104933308,USR_418409,03a127ffad27c27d,8b92e0dd674d1e38,,737042,3.2,COD,4909.84,Low (Groceries),286.9,0,2,,0,0
pay_318658533158,USR_319602,9dc7449bd720bd76,f5fc93ba2209d2b8,e4eeef1efc0baea0,361789,4.0,UPI,4822.29,Low (Groceries),176.0,1,2,,0,0
pay_365438355617,USR_159636,c8c7dac9729d3a20,30349d029a1a3924,,070686,4.1,COD,4116.26,Low (Groceries),276.6,0,5,,0,0
pay_751712350911,USR_486428,839f86c92200a960,3f7a3ef94db376c6,,082637,4.3,COD,2030.35,Low (Groceries),289.1,0,4,,0,0
pay_510343073525,USR_529663,f119465fe89179ab,bef202627d708565,,972798,2.8,COD,4056.89,High (Apparel),259.6,0,3,,1,0
pay_450276291287,USR_847009,ebb6b9273366950c,d6f0aadbfa1e5969,42e2fd8ab4840775,015522,3.2,UPI,1390.16,Medium (Electronics),278.4,0,5,,0,0
pay_91196255733,USR_289493,dc673b6740fd6c15,9b263c1d927e7c71,11bb600e1944c357,525322,3.5,UPI,4541.93,High (Apparel),230.6,0,4,,0,0
pay_120150822835,USR_703908,3d014ee82ca4da91,f7091b6887c47d1a,14ab511d3fcee2e4,458081,4.7,UPI,3871.12,Medium (Electronics),271.8,0,1,,0,0
pay_833009077155,USR_934727,5f55d296fdcdcd38,83e336ead597e36f,798f69c50f2df0c4,743487,2.6,UPI,637.79,High (Apparel),178.4,0,9,,0,0
pay_561556266571,USR_712143,fceacfaa8c9ba0b3,c0a2c5fd48bcb85f,f490d5e0a4b598cc,867651,3.6,UPI,3924.11,High (Apparel),151.6,0,1,,0,0
pay_979402703785,USR_109935,09bc3e41c1ed384c,af878f58a732567c,,584640,4.7,CARD,1413.58,Low (Groceries),287.8,0,2,,0,0
pay_862676694946,USR_69128,009ac766cb990980,c7dfa04d0b25253e,44a236265d448f39,037827,4.0,UPI,4261.83,High (Apparel),21.7,1,36,,0,0
pay_514711052552,USR_964209,d2045fd33ed72021,f64eff425d4a0532,38863cd512b1f4a8,720465,4.2,UPI,2710.87,High (Apparel),152.7,0,5,,0,0
pay_875812704752,USR_529413,8fed013904f285e1,bae8bc8aad763246,,239378,4.5,COD,4915.38,High (Apparel),104.1,0,9,,0,0
pay_986021975708,USR_227769,cff01f9b2eb8714e,6d67ba5abc129f03,,918023,3.6,COD,1204.13,High (Apparel),47.0,0,1,,0,0
pay_27005902011,USR_771693,d502cfbb38335d94,212e7dc7752f3d32,,433026,2.8,COD,2406.96,High (Apparel),216.4,1,4,,0,0
pay_116943304908,USR_479585,b3e631b067f0a559,fd8ac8dd44306923,,145840,4.6,COD,3325.78,High (Apparel),204.6,0,1,,1,0
pay_431289528380,USR_909077,35cce68794982a38,a1f4421d177c61f5,,964991,4.6,COD,1647.33,Low (Groceries),187.8,0,4,,0,0
pay_544865907682,USR_61983,e2026109a555e101,ea964403f5c212d0,,594064,4.7,COD,4377.14,Medium (Electronics),70.8,0,1,,0,0
pay_412313748542,USR_366686,c8aabc137d29b689,1fae3ec1380714a7,1816c545465cd52f,401586,2.8,UPI,4281.97,Low (Groceries),40.0,0,1,,0,0
pay_938383275343,USR_99239,441d8b650643c6c3,298779d34cea1d4d,02475f734403e461,435765,3.9,UPI,4199.55,Low (Groceries),102.1,0,3,,0,0
pay_663866095072,USR_790132,2cc67841a295728e,cb61d01006d65f81,d9db048ebcd19781,781744,2.9,UPI,3139.28,Medium (Electronics),198.3,0,5,,0,0
pay_84287259251,USR_533789,47104e4ea9563d2a,f0b3012d7c3102e5,69a2920fe1ce41f4,107028,4.5,UPI,4282.51,High (Apparel),293.1,0,4,,0,0
pay_363208823458,USR_630888,7b5a704a758ca5d4,5e9025da5f5d70b6,518fa9a11bf51719,647763,4.9,UPI,2632.55,High (Apparel),142.8,1,2,,0,0
pay_40719761529,USR_219773,5dc4e11ce19a6d43,a3181778bef091ce,269cbb56bbf96555,068829,1.5,COD,7664.28,High (Apparel),7.2,1,1,RING_015,0,1
pay_758746548131,USR_371601,cf309d79d5ad0a38,918958dd07a37229,,745136,4.3,COD,3600.87,High (Apparel),208.1,0,3,,0,0
pay_555044663542,USR_83314,7fa83a9ea24cf4a4,1867cbcc7135611f,,892074,4.6,COD,1390.92,High (Apparel),163.0,0,6,,0,0
